199, A
199, B
199, C
199, D
199, E
198, A
198, B
198, C
198, D
198, E
197, A
197, B
197, C
197, D
197, E
196, A
196, B
196, C
196, D
196, E
195, A
195, B
195, C
195, D
195, E
194, A
194, B
194, C
194, D
194, E
193, A
193, B
193, C
193, D
193, E
192, A
192, B
192, C
192, D
192, E
191, A
191, B
191, C
191, D
191, E
190, A
190, B
190, C
190, D
190, E
189, A
189, B
189, C
189, D
189, E
188, A
188, B
188, C
188, D
188, E
187, A
187, B
187, C
187, D
187, E
186, A
186, B
186, C
186, D
186, E
185, A
185, B
185, C
185, D
185, E
184, A
184, B
184, C
184, D
184, E
183, A
183, B
183, C
183, D
183, E
182, A
182, B
182, C
182, D
182, E
181, A
181, B
181, C
181, D
181, E
180, A
180, B
180, C
180, D
180, E
179, A
179, B
179, C
179, D
179, E
178, A
178, B
178, C
178, D
178, E
177, A
177, B
177, C
177, D
177, E
176, A
176, B
176, C
176, D
176, E
175, A
175, B
175, C
175, D
175, E
174, A
174, B
174, C
174, D
174, E
173, A
173, B
173, C
173, D
173, E
172, A
172, B
172, C
172, D
172, E
171, A
171, B
171, C
171, D
171, E
170, A
170, B
170, C
170, D
170, E
169, A
169, B
169, C
169, D
169, E
168, A
168, B
168, C
168, D
168, E
167, A
167, B
167, C
167, D
167, E
166, A
166, B
166, C
166, D
166, E
165, A
165, B
165, C
165, D
165, E
164, A
164, B
164, C
164, D
164, E
163, A
163, B
163, C
163, D
163, E
162, A
162, B
162, C
162, D
162, E
161, A
161, B
161, C
161, D
161, E
160, A
160, B
160, C
160, D
160, E
159, A
159, B
159, C
159, D
159, E
158, A
158, B
158, C
158, D
158, E
157, A
157, B
157, C
157, D
157, E
156, A
156, B
156, C
156, D
156, E
155, A
155, B
155, C
155, D
155, E
154, A
154, B
154, C
154, D
154, E
153, A
153, B
153, C
153, D
153, E
152, A
152, B
152, C
152, D
152, E
151, A
151, B
151, C
151, D
151, E
150, A
150, B
150, C
150, D
150, E
149, A
149, B
149, C
149, D
149, E
148, A
148, B
148, C
148, D
148, E
147, A
147, B
147, C
147, D
147, E
146, A
146, B
146, C
146, D
146, E
145, A
145, B
145, C
145, D
145, E
144, A
144, B
144, C
144, D
144, E
143, A
143, B
143, C
143, D
143, E
142, A
142, B
142, C
142, D
142, E
141, A
141, B
141, C
141, D
141, E
140, A
140, B
140, C
140, D
140, E
139, A
139, A
139, B
139, C
139, D
139, E
138, A
138, B
138, C
138, D
138, E
137, A
137, B
137, C
137, D
137, E
136, A
136, B
136, C
136, D
136, E
135, A
135, B
135, C
135, D
135, E
134, A
134, B
134, C
134, D
134, E
133, A
133, B
133, C
133, D
133, E
132, A
132, B
132, C
132, D
132, E
131, A
131, B
131, C
131, D
131, E
130, A
130, B
130, C
130, D
130, E
129, A
129, B
129, C
129, D
129, E
128, A
128, B
128, C
128, D
128, E
127, A
127, B
127, C
127, D
127, E
126, A
126, B
126, C
126, D
126, E
125, A
125, B
125, C
125, D
